id,name,location,phonenumber,category,province,xpos,ypos,average_rating
1,해오름요양병원,경기도 안산시 단원구 선부동 1034번지 8호,,"침구과, 한방신경정신과, 한방안·이비인후·피부과, 한방내과, 비뇨기과, 정형외과, 신경과, 외과, 내과",경기,126.8076026,37.34222164,3.2
2,세명요양병원,경기도 안산시 상록구 본오1동 904번지 13호 외 1필지,,"침구과, 사상체질과, 한방재활의학과, 한방신경정신과, 한방안·이비인후·피부과, 한방소아과, 한방부인과, 한방내과, 정형외과, 내과",경기,126.8629954,37.29066749,2.2
3,양주큰길요양병원,경기도 양주시 광적면 가납리 495-2번지,,"내과, 신경과, 외과, 정형외과, 신경외과, 산부인과, 재활의학과, 가정의학과, 한방내과",경기,126.9955321,37.81018663,3.0
4,중앙효요양병원,경기도 의정부시 의정부동 237번지 7호,,"외과, 침구과",경기,127.0454558,37.74623411,3.5
5,돌담요양병원,경기도 양주시 백석읍 기산리 381-5번지,,"침구과, 한방내과, 가정의학과, 마취통증의학과, 외과, 신경과, 내과",경기,126.937848,37.77208843,3.1
6,성남요양병원,"경기도 성남시 중원구 금광동 15번지 행림빌딩,지하1층,3~8층",,"침구과, 한방재활의학과, 한방내과, 재활의학과, 가정의학과, 정형외과, 내과",경기,127.159399,37.44465788,2.2
7,라온힐요양병원,경기도 성남시 중원구 여수동 202번지 지하3층 일부.2~10층,,"내과, 신경과, 정형외과, 흉부외과, 안과, 재활의학과, 가정의학과",경기,127.126881,37.41825766,2.9
8,오크힐스분당요양병원,"경기도 성남시 중원구 도촌동 563번지 303,404,405,406,501호",,"외과, 정형외과, 신경외과, 한방내과, 한방재활의학과, 침구과",경기,127.1507518,37.41520282,3.6
9,좋은이웃요양병원,,,"재활의학과, 진단검사의학과, 영상의학과, 이비인후과, 소아청소년과, 정형외과, 외과, 신경과, 내과",경기,,,2.0
10,성모요양병원,"경기도 성남시 분당구 야탑동 49, 51-1",,"외과, 침구과, 정형외과, 신경외과, 신경과, 내과",경기,127.1570941,37.40471134,5.0
11,은빛분당병원,경기도 성남시 분당구 정자동 155-1번지 뉴본타워,,"내과, 재활의학과",경기,127.1063144,37.36398211,2.8
12,보바스기념병원,경기도 성남시 분당구 금곡동 310번지 2호,,"내과, 신경과, 재활의학과, 치과",경기,127.1000251,37.357435,4.0
13,새소망병원,경기도 성남시수정구 수진2동 4553,,"내과, 신경과, 가정의학과",경기,127.1274355,37.43863043,3.8
14,동두천제일요양병원,경기도 동두천시 광암동 481-3번지,,"한방내과, 가정의학과, 재활의학과, 산부인과, 신경외과, 외과, 신경과, 내과",경기,127.0826332,37.89490776,5.0
15,동광요양병원,,,"비뇨기과, 피부과, 산부인과, 소아청소년과, 가정의학과, 정형외과, 외과, 내과",경기,,,4.1
